GENE	GENE_ENTREZ	ONCOGENE	TSG	DRIVER	CANONICAL_DRIVER	ONCOGENE_EVIDENCES	TSG_EVIDENCES
AHNAK	79026	FALSE	FALSE	TRUE	FALSE	0	0
AHNAK2	113146	FALSE	FALSE	TRUE	FALSE	0	0
AHSA1	10598	FALSE	FALSE	TRUE	FALSE	0	0
AJAP1	55966	FALSE	FALSE	TRUE	FALSE	0	0
AJUBA	84962	FALSE	FALSE	TRUE	FALSE	0	0
AK8	158067	FALSE	FALSE	TRUE	FALSE	0	0
AKAP11	11215	FALSE	FALSE	TRUE	FALSE	0	0
AKAP13	11214	FALSE	FALSE	TRUE	FALSE	0	0
AKAP6	9472	FALSE	FALSE	TRUE	FALSE	0	0
AKAP8	10270	FALSE	FALSE	TRUE	FALSE	0	0
AKAP9	10142	FALSE	FALSE	TRUE	FALSE	0	0
AKR1B10	57016	FALSE	FALSE	TRUE	FALSE	0	0
AKR1C2	1646	FALSE	FALSE	TRUE	FALSE	0	0
AKR1D1	6718	FALSE	FALSE	TRUE	FALSE	0	0
AKT1	207	TRUE	FALSE	TRUE	TRUE	3	0
AKT2	208	TRUE	FALSE	TRUE	TRUE	2	0
AKT3	10000	TRUE	FALSE	TRUE	TRUE	2	0
ALB	213	FALSE	FALSE	TRUE	FALSE	0	0
ALDH5A1	7915	FALSE	FALSE	TRUE	FALSE	0	0
ALDOA	226	FALSE	FALSE	TRUE	FALSE	0	0
ALK	238	TRUE	FALSE	TRUE	TRUE	3	0
ALKBH6	84964	FALSE	FALSE	TRUE	FALSE	0	0
ALLC	55821	FALSE	FALSE	TRUE	FALSE	0	0
ALMS1	7840	FALSE	FALSE	TRUE	FALSE	0	0
ALOX12	239	FALSE	FALSE	TRUE	FALSE	0	0
ALOX12B	242	FALSE	FALSE	TRUE	FALSE	0	0
ALPK1	80216	FALSE	FALSE	TRUE	FALSE	0	0
ALPK2	115701	FALSE	FALSE	TRUE	FALSE	0	0
ALS2CL	259173	FALSE	FALSE	TRUE	FALSE	0	0
ALX4	60529	FALSE	FALSE	TRUE	FALSE	0	0
ALYREF	10189	FALSE	FALSE	TRUE	FALSE	0	0
AMER1	139285	FALSE	TRUE	TRUE	TRUE	0	2
AMOT	154796	FALSE	FALSE	TRUE	FALSE	0	0
AMOTL1	154810	FALSE	FALSE	TRUE	FALSE	0	0
AMPH	273	FALSE	FALSE	TRUE	FALSE	0	0
AMY2B	280	FALSE	FALSE	TRUE	FALSE	0	0
ANG	283	FALSE	FALSE	TRUE	FALSE	0	0
ANGPT1	284	FALSE	FALSE	TRUE	FALSE	0	0
ANK1	286	FALSE	FALSE	TRUE	TRUE	0	0
ANK2	287	FALSE	FALSE	TRUE	FALSE	0	0
ANK3	288	FALSE	FALSE	TRUE	FALSE	0	0
ANKLE2	23141	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD12	23253	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD13A	88455	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD16	54522	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD17	26057	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD18A	253650	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD24	170961	FALSE	FALSE	TRUE	FALSE	0	0
ANKRD26	22852	FALSE	FALSE	TRUE	FALSE	0	0
