GENE	CNA	GENIE_CNT	GENIE_FREQ	SAMPLES
XPA	DEL	5	0.000157450560523995	31756
XRCC4	DEL	5	0.000157450560523995	31756
XRCC6	DEL	5	0.000157450560523995	31756
ZNF708	DEL	5	0.000157450560523995	31756
MLH3	DEL	5	0.000154007269143104	32466
GNAS	DEL	21	0.000153643546971027	136680
ERCC4	DEL	17	0.000153418525738214	110808
SOX2	DEL	21	0.000152396986893859	137798
ARFRP1	DEL	1	0.000146541617819461	6824
FGF23	DEL	1	0.000146541617819461	6824
GABRA6	DEL	1	0.000146541617819461	6824
GID4	DEL	1	0.000146541617819461	6824
HSD3B1	DEL	1	0.000146541617819461	6824
KEL	DEL	1	0.000146541617819461	6824
RANBP2	DEL	1	0.000146541617819461	6824
SOX10	DEL	1	0.000146541617819461	6824
SPTA1	DEL	1	0.000146541617819461	6824
INHBA	DEL	12	0.000146211299696612	82073
ELOC	DEL	11	0.000146181344602586	75249
REST	DEL	11	0.000146181344602586	75249
WWTR1	DEL	11	0.000146181344602586	75249
PIK3CA	DEL	20	0.000143027754535768	139833
MAP3K13	DEL	15	0.000141265550982737	106183
MST1R	AMP	11	0.0001404099971918	78342
NBN	DEL	19	0.000139650432916342	136054
IL7R	DEL	19	0.000139010828211882	136680
JAK3	DEL	19	0.000139010828211882	136680
H3-3A	DEL	11	0.000134027024721894	82073
AURKA	DEL	18	0.000131694468832309	136680
DDR2	DEL	18	0.000131694468832309	136680
ARID5A	DEL	3	0.000131285282919785	22851
ATP6V1B2	AMP	3	0.000131285282919785	22851
DTX1	DEL	3	0.000131285282919785	22851
FURIN	AMP	3	0.000131285282919785	22851
HDAC4	AMP	3	0.000131285282919785	22851
HIF1A	AMP	3	0.000131285282919785	22851
ITPKB	DEL	3	0.000131285282919785	22851
KSR2	DEL	3	0.000131285282919785	22851
MIB1	DEL	3	0.000131285282919785	22851
MPEG1	AMP	3	0.000131285282919785	22851
PCBP1	AMP	3	0.000131285282919785	22851
PDS5B	AMP	3	0.000131285282919785	22851
PRKCB	AMP	3	0.000131285282919785	22851
RPS26	DEL	3	0.000131285282919785	22851
SETD5	AMP	3	0.000131285282919785	22851
SETD7	AMP	3	0.000131285282919785	22851
ZEB2	DEL	3	0.000131285282919785	22851
ZFHX4	AMP	3	0.000131285282919785	22851
ZFHX4	DEL	3	0.000131285282919785	22851
ATR	DEL	18	0.000129762462603179	138715
PTEN	AMP	18	0.000129762462603179	138715
STAG1	DEL	7	0.000128188693757211	54607
DMC1	DEL	4	0.000125960448419196	31756
ERCC1	DEL	4	0.000125960448419196	31756
EXT2	DEL	4	0.000125960448419196	31756
FANCB	AMP	4	0.000125960448419196	31756
INSIG1	AMP	4	0.000125960448419196	31756
KIF1B	AMP	4	0.000125960448419196	31756
MTA1	DEL	4	0.000125960448419196	31756
NEIL1	DEL	4	0.000125960448419196	31756
NFKBIZ	DEL	4	0.000125960448419196	31756
